Dates,Prices
2025-01-01,100.35
2025-01-02,99.36
2025-01-03,100.17
2025-01-04,101.16
2025-01-05,99.25
2025-01-06,98.0
2025-01-07,98.18
2025-01-08,97.91
2025-01-09,97.95
2025-01-10,97.14
2025-01-11,98.07
2025-01-12,98.9
2025-01-13,99.02
2025-01-14,100.19
2025-01-15,100.71
2025-01-16,99.9
2025-01-17,100.32
2025-01-18,99.41
2025-01-19,100.34
2025-01-20,100.34
2025-01-21,100.21
2025-01-22,99.58
2025-01-23,100.85
2025-01-24,100.74
2025-01-25,100.37
2025-01-26,100.06
2025-01-27,100.65
2025-01-28,101.06
2025-01-29,101.52
2025-01-30,102.0
2025-01-31,104.2
2025-02-01,103.84
2025-02-02,103.38
2025-02-03,102.61
2025-02-04,103.28
2025-02-05,104.46
2025-02-06,104.39
2025-02-07,103.6
2025-02-08,102.83
2025-02-09,103.53
2025-02-10,104.32
2025-02-11,104.92
2025-02-12,104.3
2025-02-13,104.58
2025-02-14,104.75
2025-02-15,105.02
2025-02-16,105.94
2025-02-17,106.21
2025-02-18,106.94
2025-02-19,107.06
2025-02-20,107.4
2025-02-21,108.08
2025-02-22,106.67
2025-02-23,106.4
2025-02-24,105.98
2025-02-25,105.39
2025-02-26,105.17
2025-02-27,106.71
2025-02-28,105.9
2025-03-01,106.92
2025-03-02,105.28
2025-03-03,105.0
2025-03-04,105.21
2025-03-05,105.85
2025-03-06,106.61
2025-03-07,107.45
2025-03-08,107.15
2025-03-09,106.74
2025-03-10,107.65
2025-03-11,107.51
2025-03-12,106.28
2025-03-13,105.2
2025-03-14,104.33
2025-03-15,104.88
2025-03-16,105.07
2025-03-17,105.81
2025-03-18,105.43
2025-03-19,105.64
2025-03-20,106.32
2025-03-21,106.06
2025-03-22,106.56
2025-03-23,105.95
2025-03-24,105.64
2025-03-25,105.31
2025-03-26,104.16
2025-03-27,104.7
2025-03-28,104.28
2025-03-29,104.34
2025-03-30,104.87
2025-03-31,105.37
2025-04-01,106.08
2025-04-02,106.04
2025-04-03,105.66
2025-04-04,105.63
2025-04-05,104.0
2025-04-06,102.6
2025-04-07,101.33
2025-04-08,100.38
2025-04-09,100.83
2025-04-10,99.97
2025-04-11,99.64
2025-04-12,100.99
2025-04-13,100.69
2025-04-14,101.48
2025-04-15,100.59
2025-04-16,100.44
2025-04-17,99.54
2025-04-18,99.25
2025-04-19,100.14
2025-04-20,98.46
2025-04-21,98.94
2025-04-22,99.23
2025-04-23,98.69
2025-04-24,97.29
2025-04-25,97.41
2025-04-26,96.93
2025-04-27,97.22
2025-04-28,97.29
2025-04-29,98.94
2025-04-30,98.75
2025-05-01,97.78
2025-05-02,98.01
2025-05-03,98.28
2025-05-04,99.69
2025-05-05,100.57
2025-05-06,100.98
2025-05-07,102.49
2025-05-08,101.35
2025-05-09,100.76
2025-05-10,99.89
2025-05-11,99.55
2025-05-12,98.22
2025-05-13,98.91
2025-05-14,98.73
2025-05-15,97.31
2025-05-16,96.35
2025-05-17,96.71
2025-05-18,97.6
2025-05-19,99.65
2025-05-20,102.61
