Dates,Prices
2025-01-01,98.65
2025-01-02,97.5
2025-01-03,96.25
2025-01-04,95.67
2025-01-05,97.17
2025-01-06,95.62
2025-01-07,96.61
2025-01-08,97.93
2025-01-09,97.62
2025-01-10,96.97
2025-01-11,97.49
2025-01-12,98.76
2025-01-13,100.96
2025-01-14,101.9
2025-01-15,103.55
2025-01-16,103.15
2025-01-17,102.32
2025-01-18,100.65
2025-01-19,99.55
2025-01-20,99.24
2025-01-21,99.48
2025-01-22,98.22
2025-01-23,99.08
2025-01-24,99.03
2025-01-25,98.44
2025-01-26,97.72
2025-01-27,99.79
2025-01-28,100.01
2025-01-29,99.16
2025-01-30,98.26
2025-01-31,100.15
2025-02-01,99.62
2025-02-02,100.86
2025-02-03,102.33
2025-02-04,100.06
2025-02-05,101.46
2025-02-06,101.3
2025-02-07,100.26
2025-02-08,99.77
2025-02-09,100.38
2025-02-10,100.81
2025-02-11,101.28
2025-02-12,100.61
2025-02-13,101.94
2025-02-14,103.49
2025-02-15,105.37
2025-02-16,106.42
2025-02-17,108.37
2025-02-18,110.51
2025-02-19,111.26
2025-02-20,112.2
2025-02-21,112.83
2025-02-22,113.43
2025-02-23,114.34
2025-02-24,112.68
2025-02-25,112.41
2025-02-26,112.95
2025-02-27,110.89
2025-02-28,109.5
2025-03-01,111.13
2025-03-02,110.12
2025-03-03,109.71
2025-03-04,110.13
2025-03-05,109.71
2025-03-06,108.9
2025-03-07,108.43
2025-03-08,108.05
2025-03-09,107.52
2025-03-10,107.76
2025-03-11,109.42
2025-03-12,109.82
2025-03-13,111.5
2025-03-14,112.29
2025-03-15,113.17
2025-03-16,113.81
2025-03-17,113.56
2025-03-18,114.03
2025-03-19,114.39
2025-03-20,113.32
2025-03-21,114.12
2025-03-22,114.75
2025-03-23,115.17
2025-03-24,114.66
2025-03-25,112.08
2025-03-26,113.59
2025-03-27,113.57
2025-03-28,111.45
2025-03-29,112.14
2025-03-30,111.5
2025-03-31,112.23
2025-04-01,112.18
2025-04-02,113.36
2025-04-03,113.65
2025-04-04,113.98
2025-04-05,114.18
2025-04-06,115.46
2025-04-07,114.21
2025-04-08,115.44
2025-04-09,116.18
2025-04-10,115.67
2025-04-11,115.72
2025-04-12,115.32
2025-04-13,115.43
2025-04-14,116.42
2025-04-15,115.8
2025-04-16,116.59
2025-04-17,117.58
2025-04-18,118.27
2025-04-19,119.88
2025-04-20,119.86
2025-04-21,120.6
2025-04-22,123.13
2025-04-23,123.21
2025-04-24,123.12
2025-04-25,123.17
2025-04-26,123.81
2025-04-27,123.24
2025-04-28,123.05
2025-04-29,121.34
2025-04-30,120.34
2025-05-01,119.37
2025-05-02,118.26
2025-05-03,117.87
2025-05-04,118.61
2025-05-05,118.28
2025-05-06,117.0
2025-05-07,117.3
2025-05-08,117.51
2025-05-09,116.16
2025-05-10,116.36
2025-05-11,115.34
2025-05-12,114.76
2025-05-13,114.07
2025-05-14,114.94
2025-05-15,114.16
2025-05-16,113.89
2025-05-17,114.12
2025-05-18,115.2
2025-05-19,116.43
2025-05-20,115.46
2025-05-21,116.7
2025-05-22,117.04
2025-05-23,118.29
